,Data,1402 - Consumo de energia elétrica - Comercial - GWh
0,10/2001,0.5731835731835732
1,11/2001,0.5988065988065988
2,12/2001,0.6144261144261144
3,01/2002,0.6386451386451386
4,02/2002,0.6507546507546508
5,03/2002,0.6486486486486487
6,04/2002,0.6948051948051948
7,05/2002,0.684977184977185
8,06/2002,0.6372411372411373
9,07/2002,0.6054756054756055
10,08/2002,0.6361881361881362
11,09/2002,0.6479466479466479
12,10/2002,0.6707616707616708
13,11/2002,0.7118287118287119
14,12/2002,0.714987714987715
15,01/2003,0.7339417339417339
16,02/2003,0.7288522288522289
17,03/2003,0.7407862407862408
18,04/2003,0.6928746928746928
19,05/2003,0.6911196911196911
20,06/2003,0.6512811512811513
21,07/2003,0.6435591435591436
22,08/2003,0.6528606528606529
23,09/2003,0.6468936468936469
24,10/2003,0.7021762021762021
25,11/2003,0.7153387153387153
26,12/2003,0.7404352404352404
27,01/2004,0.744998244998245
28,02/2004,0.7277992277992278
29,03/2004,0.7378027378027378
30,04/2004,0.7804492804492804
31,05/2004,0.7206037206037206
32,06/2004,0.6739206739206739
33,07/2004,0.6821691821691822
34,08/2004,0.6786591786591787
35,09/2004,0.7232362232362233
36,10/2004,0.734994734994735
37,11/2004,0.7428922428922429
38,12/2004,0.7722007722007722
39,01/2005,0.7885222885222886
40,02/2005,0.7662337662337663
41,03/2005,0.799052299052299
42,04/2005,0.8225693225693226
43,05/2005,0.7683397683397684
44,06/2005,0.7542997542997543
45,07/2005,0.7277992277992278
46,08/2005,0.726921726921727
47,09/2005,0.7653562653562653
48,10/2005,0.7743067743067743
49,11/2005,0.7962442962442963
50,12/2005,0.8181818181818182
51,01/2006,0.8148473148473149
52,02/2006,0.846963846963847
53,03/2006,0.8555633555633556
54,04/2006,0.8483678483678484
55,05/2006,0.7755352755352756
56,06/2006,0.7581607581607581
57,07/2006,0.7425412425412425
58,08/2006,0.7736047736047736
59,09/2006,0.7918567918567918
60,10/2006,0.8041418041418041
61,11/2006,0.8367848367848368
62,12/2006,0.8690768690768691
63,01/2007,0.8673218673218673
64,02/2007,0.8641628641628641
65,03/2007,0.8948753948753949
66,04/2007,0.9278694278694278
67,05/2007,0.8536328536328537
68,06/2007,0.805019305019305
69,07/2007,0.7874692874692875
70,08/2007,0.7932607932607932
71,09/2007,0.8401193401193401
72,10/2007,0.8567918567918568
73,11/2007,0.8961038961038961
74,12/2007,0.905931905931906
75,01/2008,0.9175149175149175
76,02/2008,0.9108459108459108
77,03/2008,0.91997191997192
78,04/2008,0.9136539136539137
79,05/2008,0.8934713934713935
80,06/2008,0.8474903474903475
81,07/2008,0.8408213408213409
82,08/2008,0.8746928746928747
83,09/2008,0.8957528957528957
84,10/2008,0.9233064233064233
85,11/2008,0.9654264654264654
86,12/2008,0.9452439452439453
87,01/2009,0.9420849420849421
88,02/2009,0.9552474552474552
89,03/2009,1.0
90,04/2009,0.9978939978939979
